[2024-02-27 13:43:54.290] 1.75
[2024-02-27 13:43:54.290] 3.25
[2024-02-27 13:43:54.290] 4.28
[2024-02-27 13:43:54.290] 4.44
[2024-02-27 13:43:54.290] 3.53
[2024-02-27 13:43:54.290] 2.09
[2024-02-27 13:43:54.290] 0.97
[2024-02-27 13:43:54.290] 0.66
[2024-02-27 13:43:54.290] 0.75
[2024-02-27 13:43:54.290] 0.66
[2024-02-27 13:43:54.290] 0.22
[2024-02-27 13:43:54.290] -0.37
[2024-02-27 13:43:54.290] -0.53
[2024-02-27 13:43:54.290] 0.37
[2024-02-27 13:43:54.290] 1.69
[2024-02-27 13:43:54.290] 2.34
[2024-02-27 13:43:54.290] 1.78
[2024-02-27 13:43:54.290] 0.78
[2024-02-27 13:43:54.290] 0.47
[2024-02-27 13:43:54.290] 1.16
[2024-02-27 13:43:54.290] 2.06
[2024-02-27 13:43:54.290] 2.19
[2024-02-27 13:43:54.290] 1.44
[2024-02-27 13:43:54.290] 0.28
[2024-02-27 13:43:54.290] -0.63
[2024-02-27 13:43:54.290] -0.78
[2024-02-27 13:43:54.290] -0.34
[2024-02-27 13:43:54.290] 0.00
[2024-02-27 13:43:54.290] -0.16
[2024-02-27 13:43:54.290] -0.41
[2024-02-27 13:43:54.290] 0.19
[2024-02-27 13:43:54.290] 0.97
[2024-02-27 13:43:54.290] 0.75
[2024-02-27 13:43:54.290] -1.03
[2024-02-27 13:43:54.290] -2.53
[2024-02-27 13:43:54.290] -1.84
[2024-02-27 13:43:54.290] 1.06
[2024-02-27 13:43:54.290] 4.38
[2024-02-27 13:43:54.290] 5.69
[2024-02-27 13:43:54.290] 4.41
[2024-02-27 13:43:54.290] 1.84
[2024-02-27 13:43:54.290] 0.31
[2024-02-27 13:43:54.290] 0.44
[2024-02-27 13:43:54.290] 1.34
[2024-02-27 13:43:54.290] 1.66
[2024-02-27 13:43:54.290] 0.81
[2024-02-27 13:43:54.290] -0.22
[2024-02-27 13:43:54.290] -0.75
[2024-02-27 13:43:54.290] -0.44
[2024-02-27 13:43:54.290] 0.03
[2024-02-27 13:43:54.290] 0.03
[2024-02-27 13:43:54.290] -0.41
[2024-02-27 13:43:54.290] -0.72
[2024-02-27 13:43:54.290] -0.37
[2024-02-27 13:43:54.290] 0.50
[2024-02-27 13:43:54.290] 1.41
[2024-02-27 13:43:54.290] 1.56
[2024-02-27 13:43:54.290] 0.69
[2024-02-27 13:43:54.290] -0.81
[2024-02-27 13:43:54.290] -1.78
[2024-02-27 13:43:54.290] -1.81
[2024-02-27 13:43:54.290] -0.88
[2024-02-27 13:43:54.290] 0.69
[2024-02-27 13:43:54.290] 2.16
[2024-02-27 13:43:54.290] 2.38
[2024-02-27 13:43:54.290] 1.06
[2024-02-27 13:43:54.290] -0.84
[2024-02-27 13:43:54.290] -1.84
[2024-02-27 13:43:54.290] -1.34
[2024-02-27 13:43:54.290] 0.12
[2024-02-27 13:43:54.290] 1.41
[2024-02-27 13:43:54.290] 1.66
[2024-02-27 13:43:54.290] 1.00
[2024-02-27 13:43:54.290] 0.28
[2024-02-27 13:43:54.290] -0.34
[2024-02-27 13:43:54.290] -0.69
[2024-02-27 13:43:54.320] -0.72
[2024-02-27 13:43:54.320] -0.44
[2024-02-27 13:43:54.320] 0.06
[2024-02-27 13:43:54.320] 0.72
[2024-02-27 13:43:54.320] 1.50
[2024-02-27 13:43:54.320] 2.28
[2024-02-27 13:43:54.320] 2.63
[2024-02-27 13:43:54.320] 2.22
[2024-02-27 13:43:54.320] 0.97
[2024-02-27 13:43:54.320] -0.56
[2024-02-27 13:43:54.320] -1.53
[2024-02-27 13:43:54.320] -1.31
[2024-02-27 13:43:54.320] -0.28
[2024-02-27 13:43:54.320] 1.00
[2024-02-27 13:43:54.320] 1.84
[2024-02-27 13:43:54.320] 1.91
[2024-02-27 13:43:54.320] 1.53
[2024-02-27 13:43:54.320] 1.31
[2024-02-27 13:43:54.320] 1.59
[2024-02-27 13:43:54.320] 1.84
[2024-02-27 13:43:54.320] 1.69
[2024-02-27 13:43:54.320] 1.06
[2024-02-27 13:43:54.320] 0.56
[2024-02-27 13:43:54.320] 0.59
[2024-02-27 13:43:54.320] 1.19
[2024-02-27 13:43:54.320] 1.31
[2024-02-27 13:43:54.320] 0.97
[2024-02-27 13:43:54.320] 0.53
[2024-02-27 13:43:54.320] 0.78
[2024-02-27 13:43:54.320] 1.81
[2024-02-27 13:43:54.320] 2.94
[2024-02-27 13:43:54.320] 2.72
[2024-02-27 13:43:54.320] 0.78
[2024-02-27 13:43:54.320] -1.53
[2024-02-27 13:43:54.320] -2.56
[2024-02-27 13:43:54.320] -1.53
[2024-02-27 13:43:54.320] 0.66
[2024-02-27 13:43:54.320] 2.53
[2024-02-27 13:43:54.320] 2.88
[2024-02-27 13:43:54.320] 1.63
[2024-02-27 13:43:54.320] 0.09
[2024-02-27 13:43:54.320] -0.19
[2024-02-27 13:43:54.320] 0.78
[2024-02-27 13:43:54.320] 1.66
[2024-02-27 13:43:54.320] 1.56
[2024-02-27 13:43:54.320] 0.50
[2024-02-27 13:43:54.320] -0.53
[2024-02-27 13:43:54.320] -0.91
[2024-02-27 13:43:54.320] -0.47
[2024-02-27 13:43:54.320] 0.06
[2024-02-27 13:43:54.320] 0.12
[2024-02-27 13:43:54.320] -0.31
[2024-02-27 13:43:54.320] -0.34
[2024-02-27 13:43:54.320] 0.63
[2024-02-27 13:43:54.320] 1.97
[2024-02-27 13:43:54.320] 2.47
[2024-02-27 13:43:54.320] 1.37
[2024-02-27 13:43:54.320] -0.25
[2024-02-27 13:43:54.320] -1.22
[2024-02-27 13:43:54.320] -1.41
[2024-02-27 13:43:54.320] -1.37
[2024-02-27 13:43:54.320] -1.28
[2024-02-27 13:43:54.320] -0.84
[2024-02-27 13:43:54.320] 0.00
[2024-02-27 13:43:54.320] 1.12
[2024-02-27 13:43:54.320] 2.22
[2024-02-27 13:43:54.320] 2.81
[2024-02-27 13:43:54.320] 2.72
[2024-02-27 13:43:54.320] 2.16
[2024-02-27 13:43:54.320] 1.78
[2024-02-27 13:43:54.320] 1.47
[2024-02-27 13:43:54.320] 0.97
[2024-02-27 13:43:54.320] 0.47
[2024-02-27 13:43:54.320] 0.59
[2024-02-27 13:43:54.320] 1.69
[2024-02-27 13:43:54.320] 2.88
[2024-02-27 13:43:54.320] 3.16
[2024-02-27 13:43:54.320] 1.84
[2024-02-27 13:43:54.320] -0.31
[2024-02-27 13:43:54.320] -2.28
[2024-02-27 13:43:54.320] -3.22
[2024-02-27 13:43:54.320] -3.06
[2024-02-27 13:43:54.320] -2.03
[2024-02-27 13:43:54.320] -0.34
[2024-02-27 13:43:54.320] 0.88
[2024-02-27 13:43:54.320] 0.97
[2024-02-27 13:43:54.320] 0.03
[2024-02-27 13:43:54.320] -1.00
[2024-02-27 13:43:54.320] -0.84
[2024-02-27 13:43:54.320] 0.47
[2024-02-27 13:43:54.320] 2.03
[2024-02-27 13:43:54.320] 3.00
[2024-02-27 13:43:54.320] 3.16
[2024-02-27 13:43:54.320] 2.81
[2024-02-27 13:43:54.320] 2.47
[2024-02-27 13:43:54.320] 1.91
[2024-02-27 13:43:54.320] 1.09
[2024-02-27 13:43:54.320] 0.34
[2024-02-27 13:43:54.320] 0.12
[2024-02-27 13:43:54.320] 0.66
[2024-02-27 13:43:54.320] 1.28
[2024-02-27 13:43:54.320] 1.34
[2024-02-27 13:43:54.320] 0.63
[2024-02-27 13:43:54.320] -0.34
[2024-02-27 13:43:54.320] -0.41
[2024-02-27 13:43:54.320] 0.72
[2024-02-27 13:43:54.320] 2.41
[2024-02-27 13:43:54.320] 3.34
[2024-02-27 13:43:54.320] 2.44
[2024-02-27 13:43:54.320] 0.66
[2024-02-27 13:43:54.320] -0.50
[2024-02-27 13:43:54.320] -0.81
[2024-02-27 13:43:54.320] -0.69
[2024-02-27 13:43:54.320] -0.94
[2024-02-27 13:43:54.320] -1.31
[2024-02-27 13:43:54.320] -1.44
[2024-02-27 13:43:54.320] -1.06
[2024-02-27 13:43:54.320] -0.34
[2024-02-27 13:43:54.320] 0.31
[2024-02-27 13:43:54.320] 0.69
[2024-02-27 13:43:54.320] 0.75
[2024-02-27 13:43:54.320] 0.72
[2024-02-27 13:43:54.320] 0.97
[2024-02-27 13:43:54.320] 1.59
[2024-02-27 13:43:54.320] 2.03
[2024-02-27 13:43:54.320] 1.75
[2024-02-27 13:43:54.320] 0.56
[2024-02-27 13:43:54.320] -0.66
[2024-02-27 13:43:54.320] -0.91
[2024-02-27 13:43:54.320] 0.28
[2024-02-27 13:43:54.320] 1.97
[2024-02-27 13:43:54.320] 2.63
[2024-02-27 13:43:54.320] 1.47
[2024-02-27 13:43:54.320] -0.94
[2024-02-27 13:43:54.320] -2.72
[2024-02-27 13:43:54.320] -2.72
[2024-02-27 13:43:54.320] -1.16
[2024-02-27 13:43:54.320] 0.69
[2024-02-27 13:43:54.320] 1.97
[2024-02-27 13:43:54.320] 2.66
[2024-02-27 13:43:54.320] 3.19
[2024-02-27 13:43:54.320] 3.22
[2024-02-27 13:43:54.320] 2.34
[2024-02-27 13:43:54.320] 0.88
[2024-02-27 13:43:54.320] 0.09
[2024-02-27 13:43:54.320] 0.47
[2024-02-27 13:43:54.320] 1.31
[2024-02-27 13:43:54.320] 1.72
[2024-02-27 13:43:54.320] 1.28
[2024-02-27 13:43:54.320] 0.22
[2024-02-27 13:43:54.320] -0.88
[2024-02-27 13:43:54.320] -1.28
[2024-02-27 13:43:54.320] -1.06
[2024-02-27 13:43:54.320] -0.12
[2024-02-27 13:43:54.320] 1.09
[2024-02-27 13:43:54.320] 2.06
[2024-02-27 13:43:54.320] 2.47
[2024-02-27 13:43:54.320] 2.13
[2024-02-27 13:43:54.320] 1.63
[2024-02-27 13:43:54.320] 1.44
[2024-02-27 13:43:54.320] 2.09
[2024-02-27 13:43:54.340] 3.25
[2024-02-27 13:43:54.340] 4.25
[2024-02-27 13:43:54.340] 3.97
[2024-02-27 13:43:54.340] 2.38
[2024-02-27 13:43:54.340] 0.28
[2024-02-27 13:43:54.340] -1.28
[2024-02-27 13:43:54.340] -1.97
[2024-02-27 13:43:54.340] -2.00
[2024-02-27 13:43:54.340] -1.53
[2024-02-27 13:43:54.340] -0.81
[2024-02-27 13:43:54.340] -0.12
[2024-02-27 13:43:54.340] 0.25
[2024-02-27 13:43:54.340] 0.09
[2024-02-27 13:43:54.340] -0.44
[2024-02-27 13:43:54.340] -0.63
[2024-02-27 13:43:54.340] -0.22
[2024-02-27 13:43:54.340] 0.59
[2024-02-27 13:43:54.340] 1.12
[2024-02-27 13:43:54.340] 0.97
[2024-02-27 13:43:54.340] 0.41
[2024-02-27 13:43:54.340] 0.03
[2024-02-27 13:43:54.340] 0.37
[2024-02-27 13:43:54.340] 1.19
[2024-02-27 13:43:54.340] 1.91
